CMDLINE C:\Python39\python.exe tu_script.py
MEM 1.550781 1691777706.9925
MEM 7.347656 1691777707.0946
MEM 10.316406 1691777707.2006
MEM 15.292969 1691777707.3097
MEM 19.222656 1691777707.4217
MEM 22.460938 1691777707.5347
MEM 24.820312 1691777707.6457
MEM 26.640625 1691777707.7573
MEM 28.753906 1691777707.8673
MEM 30.101562 1691777707.9794
MEM 31.066406 1691777708.0894
MEM 32.601562 1691777708.2434
MEM 33.742188 1691777708.3564
MEM 34.730469 1691777708.4785
MEM 35.378906 1691777708.5885
MEM 36.421875 1691777708.6895
MEM 37.949219 1691777708.8026
MEM 39.582031 1691777708.9446
MEM 39.968750 1691777709.0546
MEM 41.113281 1691777709.1777
MEM 42.039062 1691777709.2887
MEM 42.328125 1691777709.3997
