CMDLINE C:\Python39\python.exe ml.py
MEM 1.554688 1691781678.5028
MEM 9.003906 1691781678.6028
MEM 14.105469 1691781678.7139
MEM 17.949219 1691781678.8259
MEM 21.792969 1691781678.9339
MEM 23.828125 1691781679.0469
MEM 26.156250 1691781679.1560
MEM 28.281250 1691781679.2660
MEM 30.441406 1691781679.3741
MEM 33.457031 1691781679.4860
MEM 35.656250 1691781679.5961
MEM 36.667969 1691781679.7091
MEM 37.992188 1691781679.8311
MEM 39.800781 1691781679.9472
MEM 40.726562 1691781680.0592
MEM 41.558594 1691781680.2282
MEM 42.171875 1691781680.3293
MEM 46.269531 1691781680.4363
MEM 51.148438 1691781680.5453
MEM 55.765625 1691781680.6543
MEM 59.699219 1691781680.7635
MEM 65.195312 1691781680.8744
MEM 68.640625 1691781680.9946
MEM 71.613281 1691781681.0954
MEM 73.812500 1691781681.2046
MEM 78.535156 1691781681.3116
MEM 81.113281 1691781681.4196
MEM 84.128906 1691781681.5287
MEM 86.667969 1691781681.6407
MEM 91.781250 1691781681.7488
MEM 94.562500 1691781681.8598
MEM 98.511719 1691781681.9719
MEM 104.578125 1691781682.0820
MEM 106.101562 1691781682.1909
MEM 108.933594 1691781682.2981
MEM 111.578125 1691781682.4111
MEM 114.613281 1691781682.5181
MEM 124.183594 1691781682.6300
MEM 124.984375 1691781682.7410
MEM 126.359375 1691781682.8491
MEM 128.070312 1691781682.9581
MEM 130.500000 1691781683.0682
MEM 132.761719 1691781683.1803
MEM 132.406250 1691781683.2923
MEM 181.296875 1691781683.4022
MEM 351.226562 1691781683.5112
MEM 525.671875 1691781683.6212
MEM 723.816406 1691781683.7323
MEM 906.914062 1691781683.8414
MEM 1074.445312 1691781683.9503
MEM 1246.519531 1691781684.0664
MEM 1395.785156 1691781684.1734
MEM 1555.101562 1691781684.2835
MEM 1726.109375 1691781684.3916
MEM 1891.492188 1691781684.5025
MEM 2061.894531 1691781684.6115
MEM 2236.960938 1691781684.7225
MEM 2403.011719 1691781684.8315
MEM 2572.835938 1691781684.9436
MEM 2727.480469 1691781685.0536
MEM 2880.988281 1691781685.1637
MEM 3049.050781 1691781685.2738
MEM 3220.039062 1691781685.3837
MEM 3384.542969 1691781685.4927
MEM 3520.960938 1691781685.6027
MEM 3678.558594 1691781685.7138
MEM 3863.953125 1691781685.8228
MEM 4049.871094 1691781685.9298
MEM 4237.660156 1691781686.0419
MEM 4416.781250 1691781686.1540
MEM 4594.820312 1691781686.2659
MEM 4761.609375 1691781686.3739
MEM 4930.246094 1691781686.4820
MEM 5072.324219 1691781686.5940
MEM 5234.378906 1691781686.7040
MEM 5389.644531 1691781686.8140
MEM 5551.527344 1691781686.9261
MEM 5657.687500 1691781687.0361
MEM 5742.699219 1691781687.1481
MEM 5821.054688 1691781687.2572
MEM 5882.125000 1691781687.3662
MEM 5968.210938 1691781687.4784
MEM 6055.882812 1691781687.5894
MEM 6144.714844 1691781687.7003
MEM 6220.968750 1691781687.8093
MEM 6311.945312 1691781687.9233
MEM 6401.925781 1691781688.0264
MEM 6506.199219 1691781688.1374
MEM 6603.652344 1691781688.2494
MEM 6691.062500 1691781688.3724
MEM 6735.730469 1691781688.5635
MEM 6753.011719 1691781688.7155
MEM 6799.425781 1691781688.8556
MEM 6849.031250 1691781688.9606
MEM 6915.847656 1691781689.1156
MEM 6884.066406 1691781689.2267
MEM 6801.714844 1691781689.3337
MEM 6285.945312 1691781689.4417
MEM 5760.937500 1691781689.5497
MEM 5248.515625 1691781689.6578
MEM 4724.417969 1691781689.7688
MEM 4221.855469 1691781689.8788
MEM 3696.523438 1691781689.9908
MEM 3267.894531 1691781690.1019
MEM 3001.699219 1691781690.2129
MEM 2611.296875 1691781690.3239
MEM 2132.765625 1691781690.4340
MEM 1588.996094 1691781690.5440
MEM 1058.011719 1691781690.6560
MEM 564.550781 1691781690.7660
MEM 122.417969 1691781690.8781
MEM 119.808594 1691781690.9861
MEM 115.703125 1691781691.0971
